Model,Parameters,Size (MB),Accuracy,Precision,Recall,F1-Score,Inf. Time (ms),Throughput (img/s)
SWIN,"27,523,199",104.99,0.9414,0.9459,0.9413,0.9411,0.39,2546.62
DEIT,"5,525,381",21.08,0.8514,0.8525,0.8515,0.8502,0.26,3871.86
